MATRICULA,NOMBRE,APELLIDO_PATERNO,APELLIDO_MATERNO,GENERO,FECHA_NACIMIENTO,NACIONALIDAD,SEMESTRE,Representación simbólica y angular del entorno,Comunicación activa en inglés,Relación entre compuestos orgánicos y el entorno,Comunicación en los ámbitos escolar y profesional,Emprendimiento e innovación,Manejo de aplicaciones por medios digitales,Desarrollo de pensamiento computacional,Identificación de redes de computadoras,Implementación de interfaces de programación,Análisis derivativo de funciones,Comunicación productiva en inglés,Interpretación de fenómenos físicos de la materia,Desarrollo ciudadano,Desarrollo ágil de sistemas,Aplicación de protocolos de datos,Aplicación de modelos ETL,Análisis de tendencias en datos,Tratamiento de datos y azar,Interpretación de normas de convivencia ambiental,Filosofía,Aplicación de modelos predictivos,Presentación y análisis prescriptivo de los datos,Análisis del lenguaje natural,Gestión de rendimiento de los datos,PROMEDIO,17-02-2025,18-02-2025,19-02-2025,20-02-2025,21-02-2025,24-02-2025,25-02-2025,26-02-2025,27-02-2025,28-02-2025,03-03-2025,04-03-2025,05-03-2025,06-03-2025,07-03-2025,10-03-2025,11-03-2025,12-03-2025,13-03-2025,14-03-2025,17-03-2025,18-03-2025,19-03-2025,20-03-2025,21-03-2025,24-03-2025,25-03-2025,26-03-2025,27-03-2025,28-03-2025,31-03-2025,01-04-2025,02-04-2025,03-04-2025,04-04-2025,07-04-2025,08-04-2025,09-04-2025,10-04-2025,11-04-2025,14-04-2025,15-04-2025,16-04-2025,17-04-2025,18-04-2025,21-04-2025,22-04-2025,23-04-2025,24-04-2025,25-04-2025,28-04-2025,29-04-2025,30-04-2025,01-05-2025,02-05-2025,05-05-2025,06-05-2025,07-05-2025,08-05-2025,09-05-2025,12-05-2025,13-05-2025,14-05-2025,15-05-2025,16-05-2025,19-05-2025,20-05-2025,21-05-2025,22-05-2025,23-05-2025,26-05-2025,27-05-2025,28-05-2025,29-05-2025,30-05-2025,02-06-2025,03-06-2025,04-06-2025,05-06-2025,06-06-2025,09-06-2025,10-06-2025,11-06-2025,12-06-2025,13-06-2025,16-06-2025,17-06-2025,18-06-2025,19-06-2025,20-06-2025,23-06-2025,24-06-2025,25-06-2025,26-06-2025,27-06-2025,30-06-2025,01-07-2025,02-07-2025,03-07-2025,04-07-2025,TOTAL_ASISTENCIAS,TOTAL_INASISTENCIAS,PORCENTAJE_ASISTENCIA,RIESGO_REPROBACION
1001,Alumna,Álvarez,Díaz,F,04/04/2009,Española,2.0,91.0,93.0,60.0,22.0,73.0,92.0,85.0,88.0,2.0,,,,,,,,,,,,,,,,67.33333333333333,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,69.0,31.0,69.0,1.0
1002,Alumna,Rodríguez,Martínez,F,05/05/2007,Cubana,6.0,,,,,,,,,,,,,,,,,,100.0,83.0,71.0,91.0,96.0,79.0,75.0,85.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,70.0,30.0,70.0,0.0
1003,Alumno,Torres,Jiménez,M,01/01/2008,Estadounidense,4.0,,,,,,,,,,90.0,71.0,95.0,92.0,94.0,69.0,64.0,65.0,,,,,,,,80.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,68.0,32.0,68.0,0.0
1004,Alumna,López,González,F,13/09/2008,Estadounidense,4.0,,,,,,,,,,91.0,62.0,41.0,94.0,86.0,92.0,60.0,33.0,,,,,,,,69.875,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,70.0,30.0,70.0,0.0
1005,Ana,Navarro,Romero,F,01/01/2007,Mexicana,6.0,,,,,,,,,,,,,,,,,,100.0,95.0,100.0,33.0,76.0,61.0,64.0,75.57142857142857,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,65.0,35.0,65.0,1.0
1006,Alumna,Álvarez,Jiménez,F,24/12/2009,Colombiana,2.0,79.0,88.0,82.0,57.0,68.0,73.0,74.0,92.0,74.0,,,,,,,,,,,,,,,,76.33333333333333,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,67.0,33.0,67.0,1.0
1007,Alumna,Flores,Pérez,F,06/05/2008,Estadounidense,4.0,,,,,,,,,,88.0,83.0,71.0,61.0,83.0,96.0,83.0,30.0,,,,,,,,74.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80.0,20.0,80.0,0.0
1008,Alumna,Morales,Castro,F,04/08/2008,Guatemalteca,4.0,,,,,,,,,,91.0,85.0,87.0,89.0,54.0,96.0,94.0,74.0,,,,,,,,83.75,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,66.0,34.0,66.0,0.0
1009,Alumna,Ruiz,Castro,F,09/06/2007,Chilena,6.0,,,,,,,,,,,,,,,,,,91.0,72.0,91.0,96.0,96.0,65.0,82.0,84.71428571428571,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,75.0,25.0,75.0,0.0
1010,Diego,García,Rodríguez,M,05/02/2009,Cubana,2.0,60.0,60.0,88.0,82.0,77.0,98.0,85.0,90.0,68.0,,,,,,,,,,,,,,,,78.66666666666667,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,75.0,25.0,75.0,0.0
